DATE,USD_W,DT_W,V_W
20/12/2015,"22,543.50",38.1,"1,135.90"
27/12/2015,"22,485.00",37.04,"1,121.00"
3/1/2016,"22,465.00",33.16,"1,151.70"
10/1/2016,"22,416.50",29.42,"1,137.50"
17/01/2016,"22,455.00",32.19,"1,142.60"
24/01/2016,"22,241.00",33.62,"1,161.90"
31/01/2016,"22,286.00",30.89,"1,198.00"
7/2/2016,"22,308.00",29.44,"1,271.20"
14/02/2016,"22,348.50",29.64,"1,267.40"
21/02/2016,"22,317.50",32.78,"1,258.80"
28/02/2016,"22,277.50",35.92,"1,315.60"
6/3/2016,"22,281.50",38.5,"1,308.60"
13/03/2016,"22,303.00",39.44,"1,302.00"
20/03/2016,"22,302.50",39.46,"1,272.40"
27/03/2016,"22,329.00",36.79,"1,268.90"
3/4/2016,"22,294.50",39.72,"1,287.30"
10/4/2016,"22,339.00",40.36,"1,279.70"
17/04/2016,"22,279.00",43.73,"1,278.80"
24/04/2016,"22,288.00",45.92,"1,341.40"
1/5/2016,"22,272.50",44.66,"1,340.10"
8/5/2016,"22,317.50",46.21,"1,319.50"
15/05/2016,"22,317.50",47.75,"1,305.90"
22/05/2016,"22,383.00",49.33,"1,267.60"
29/05/2016,"22,434.00",48.62,"1,294.60"
5/6/2016,"22,335.00",49.07,"1,327.70"
12/6/2016,"22,404.00",47.98,"1,342.90"
19/06/2016,"22,331.00",47.64,"1,376.80"
26/06/2016,"22,322.50",48.99,"1,394.30"
3/7/2016,"22,290.50",45.41,"1,412.00"
10/7/2016,"22,314.00",45.95,"1,383.50"
17/07/2016,"22,295.00",44.19,"1,385.50"
24/07/2016,"22,299.50",41.6,"1,415.70"
31/07/2016,"22,302.50",41.8,"1,407.90"
7/8/2016,"22,301.00",44.49,"1,406.80"
14/08/2016,"22,293.50",48.52,"1,408.00"
21/08/2016,"22,320.00",47.64,"1,383.20"
28/08/2016,"22,283.50",44.44,"1,385.30"
4/9/2016,"22,300.50",45.88,"1,393.10"
11/9/2016,"22,319.00",43.03,"1,367.10"
18/09/2016,"22,301.50",44.48,"1,396.00"
25/09/2016,"22,295.50",48.24,"1,370.40"
2/10/2016,"22,296.00",49.81,"1,304.50"
9/10/2016,"22,301.50",50.35,"1,310.40"
16/10/2016,"22,314.00",50.85,"1,323.00"
23/10/2016,"22,318.50",48.7,"1,337.10"
30/10/2016,"22,316.50",44.07,"1,365.70"
